name,price,stock
Ibuprofeno 600mg,1500.50,50
Loratadina 10mg,950.00,30
Enalapril 10mg,1200.75,40
Aspirina Prevent,2100.00,100
Omeprazol 20mg,1800.25,60
Amoxicilina 500mg,3450.00,25
Paracetamol 500mg,1250.50,100
Buscapina Fem,1890.50,15
Sertal Compuesto,2200.00,40
Losartan 50mg,2500.00,35
Atorvastatina 20mg,3100.50,20
Tafirol 1g,1600.00,80
Diclofenac 75mg,1400.00,45
Clonazepam 0.5mg,2800.00,10
Metformina 850mg,1950.00,55
Vitamina C 1g,1100.00,90
B12 Forte,4500.00,12
Dermaglós Crema,5600.00,8
Alcohol en Gel 250ml,850.00,150
Barbijos Pack x10,1200.00,200
